id;syncify_id;isrc;name;artist;album;spotify_url;apple_url
1;cdc1c518-b5ad-4152-8f45-8731df2796da;Handmade channels;Bedfordshire Buckinghamshire;Table contextually-based Future;Frozen;budgetary management;Practical
2;405a19a2-413b-4d41-a3fc-e1b7bbe50587;Minnesota hacking;Steel zero defect;programming Turnpike Garden;Home Spurs;Home Loan Account Money Market Account;Florida Agent
3;e76e06fa-0b0d-4d16-a795-042a371b953d;multi-byte;Infrastructure toolset;Metal;withdrawal National;leading edge Quality;Granite enterprise
4;7b05a82e-5eaf-4ebc-98dc-78c043eed224;Beauty extensible system engine;Auto Loan Account hard drive withdrawal;port revolutionary;Ethiopian Birr impactful Monitored;Soft withdrawal withdrawal;holistic
5;a97452dd-b7ad-4b0d-888d-53186a6faa68;violet Libyan Dinar real-time;Bedfordshire;Granite Costa Rican Colon;Consultant policy;Bypass Lesotho Shoes;calculating communities
6;7f47b800-6aba-4622-ab93-8354467fe514;Avon Frozen;Checking Account;Avon;Dynamic backing up;Group;calculating
7;ffb96a43-4650-481d-9afb-38e458c75ae8;Executive Handmade Fresh Sausages Usability;B2B;SAS quantifying;Program payment;Shoes Borders;Kids channels
8;cba16087-be59-4ce6-a5d2-49463389c8e2;Borders cross-platform AI;array Configuration program;copy;1080p;navigate Savings Account;extend Cheese
9;186e5a7c-23a1-4faa-aa4e-4f19640dd98a;Gibraltar Soap;turn-key engineer;Checking Account;superstructure Garden;olive lime;utilize
10;6e046d8a-9914-4371-ae32-6ce1f3443fdd;bluetooth Reverse-engineered;CFP Franc withdrawal extranet;Strategist;Analyst;Auto Loan Account scalable Lead;generate withdrawal United Kingdom
